item,IATA_airport_code,located_in_the_administrative_territorial_entity,located_in_the_administrative_territorial_entityLabel,coordinate_location,official_website,ICAO_airport_code,end_time,country,countryLabel
http://www.wikidata.org/entity/Q17593,TUM,http://www.wikidata.org/entity/Q820274,Tumut Shire,Point(148.240833333 -35.262777777),,YTMU,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17593,TUM,http://www.wikidata.org/entity/Q63527793,Mundongo,Point(148.240833333 -35.262777777),,YTMU,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17595,WGA,http://www.wikidata.org/entity/Q3224,New South Wales,Point(147.466388888 -35.165277777),http://www.wagga.nsw.gov.au/city-of-wagga-wagga/business/airport,YSWG,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17597,WGE,http://www.wikidata.org/entity/Q3224,New South Wales,Point(148.125 -30.033333333),,YWLG,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17597,WGE,http://www.wikidata.org/entity/Q265390,Walgett Shire,Point(148.125 -30.033333333),,YWLG,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17599,,http://www.wikidata.org/entity/Q3224,New South Wales,Point(151.427777777 -33.240833333),http://www.ccac.com.au/,YWVA,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17603,WWY,http://www.wikidata.org/entity/Q3224,New South Wales,Point(147.191666666 -33.936666666),,YWWL,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17603,WWY,http://www.wikidata.org/entity/Q753114,Lachlan Shire,Point(147.191666666 -33.936666666),,YWWL,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17604,WOL,http://www.wikidata.org/entity/Q3224,New South Wales,Point(150.7844444 -34.565),http://www.illawarraregionalairport.com.au/default.aspx?WebPage=1,YWOL,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17604,WOL,http://www.wikidata.org/entity/Q1534913,City of Shellharbour,Point(150.7844444 -34.565),http://www.illawarraregionalairport.com.au/default.aspx?WebPage=1,YWOL,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17605,NGA,http://www.wikidata.org/entity/Q3224,New South Wales,Point(148.248055555 -34.255555555),,YYNG,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17606,ASP,http://www.wikidata.org/entity/Q3235,Northern Territory,Point(133.902222222 -23.806944444),http://www.alicespringsairport.com.au,YBAS,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17607,BRT,http://www.wikidata.org/entity/Q3235,Northern Territory,Point(130.62 -11.7692),,YBTI,,http://www.wikidata.org/entity/Q408,Australia
